unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.54E+12,29-10-2018,BTC,6405.45,6405.99,6200,6270.64,3589.03345,22505536.71
1.54E+12,28-10-2018,BTC,6405.99,6418.97,6387.64,6405.45,482.2657069,3089128.872
1.54E+12,27-10-2018,BTC,6416.15,6418.01,6388.06,6405.99,450.7587053,2887555.758
1.54E+12,26-10-2018,BTC,6388.46,6450,6375,6416.15,2764.668936,17738530.59
1.54E+12,25-10-2018,BTC,6390.51,6419.07,6379.03,6388.46,2727.862817,17426842.5
1.54E+12,24-10-2018,BTC,6413.41,6465.68,6358.82,6390.51,3634.076277,23223600.79
1.54E+12,23-10-2018,BTC,6392.27,6417.62,6350.1,6413.41,3563.055948,22851338.65
1.54E+12,22-10-2018,BTC,6408.7,6426.24,6371.09,6392.27,2982.270784,19063480.06
1.54E+12,21-10-2018,BTC,6434.22,6449.97,6390.01,6408.7,534.4444129,3425093.909
1.54E+12,20-10-2018,BTC,6383.39,6386.34,6382,6382.04,2.7016444,17242.00263
1.54E+12,19-10-2018,BTC,6383.39,6383.39,6383.39,6383.39,0,0
1.54E+12,18-10-2018,BTC,6459.26,6459.64,6350.92,6383.39,4597.20033,29345722.61
1.54E+12,17-10-2018,BTC,6444.08,6487.77,6406.98,6459.26,1998.462064,12908586.07
1.54E+12,16-10-2018,BTC,6423.27,6489.99,6390.1,6444.08,2978.589591,19194269.61
1.54E+12,15-10-2018,BTC,6215.68,6769,6206,6423.27,8948.73051,57480112.23
1.54E+12,14-10-2018,BTC,6225,6295.08,6149.88,6215.68,2189.900277,13611719.35
1.54E+12,13-10-2018,BTC,6192.15,6245.97,6180.27,6185.11,258.8745648,1601167.659
1.54E+12,12-10-2018,BTC,6192.15,6192.15,6192.15,6192.15,0,0
1.54E+12,11-10-2018,BTC,6226.22,6250,6102.05,6192.15,3275.287967,20281074.39
1.54E+12,10-10-2018,BTC,6539.16,6557.18,6026.09,6226.22,5005.494338,31165308.96
1.54E+12,09-10-2018,BTC,6606.13,6611.66,6521.7,6539.16,2148.300494,14048080.66
1.54E+12,08-10-2018,BTC,6557.02,6655,6538.14,6606.13,2084.521552,13770620.36
1.54E+12,07-10-2018,BTC,6560,6589.98,6499.01,6557.02,644.1750749,4223868.85
